Ticker,Company Name,Theme,Sub Theme,Assignment
EHC,Encompass Health Corp,Healthcare & Biotech,Healthcare - Senior Care & Longevity,Primary
EIX,Edison International,Energy - Traditional,Energy Base - Utilities & Conventional Power Operators,Primary
EL,Estee Lauder Companies Inc,E-commerce,E-commerce - Direct-to-Consumer,Primary
EL,Estee Lauder Companies Inc,Nanotechnology,NanoTech - Consumer & Industrial Products,Secondary
ELAN,Elanco Animal Health Inc,Healthcare & Biotech,Healthcare - Animal Health & Veterinary,Primary
ELAN,Elanco Animal Health Inc,Commodities - Agriculture,Comm Agri - Livestock & Animal Protein,Secondary
ELF,"E.L.F. Beauty, Inc.",Consumer Goods & Retail,Consumer - Household & Personal Care,Primary
ELS,Equity Lifestyle Properties Inc,Real Estate & REITs,"Real Estate - Housing, Urban Living & Demographics",Primary
ELV,"Elevance Health, Inc.",Healthcare & Biotech,"Healthcare - IT, Services & Data Infrastructure",Primary
EME,"Emcor Group, Inc.",Industrials & Construction,Industrials - Engineering & Construction,Primary
EME,"Emcor Group, Inc.",Cloud Computing,Cloud - Data Centers & Infrastructure,Secondary
EMR,Emerson Electric Co,Hardware,Hardware - Industrial & IoT,Primary
EMR,Emerson Electric Co,Industrial Automation & Robotics,Automation - Factory & Process Automation Systems,Secondary
ENB,Enbridge Inc,Energy - Traditional,Energy Base - Refining & Midstream Infrastructure,Primary
ENB,Enbridge Inc,Energy - Renewable,Energy Clean - Wind,Secondary
ENLT,Enlight Renewable Energy Ltd.,Energy - Renewable,Energy Clean - Wind,Primary
ENPH,"Enphase Energy, Inc.",Energy - Renewable,Energy Clean - Batteries & Storage,Primary
ENPH,"Enphase Energy, Inc.",Energy - Renewable,Energy Clean - Solar,Secondary
ENS,Enersys,Energy - Renewable,Energy Clean - Batteries & Storage,Primary
ENSG,"Ensign Group, Inc",Healthcare & Biotech,Healthcare - Senior Care & Longevity,Primary
ENTG,"Entegris, Inc.",Semiconductors,"Semis - Equipment, Lithography & Deposition",Primary
ENVX,Enovix Corp,Electric Vehicles & Mobility,EVs - Batteries & Materials,Primary
EOG,Eog Resources Inc,Energy - Traditional,Energy Base - Oil & Gas Exploration & Production,Primary
EOG,Eog Resources Inc,Commodities - Energy,Comm Energy - Crude Oil,Secondary
EOSE,"Eos Energy Enterprises, Inc.",Energy - Renewable,Energy Clean - Batteries & Storage,Primary
