Ticker,Company Name,Theme,Sub Theme,Setup,Market Cap,1W Price Change %,1M Price Change %,3M Price Change %,Pct vs 30W EMA,Weekly PPO Hist,Weekly Hist Improving,Daily PPO,Daily PPO Hist,Daily PPO Turning Up,RS 1M Change %,Vol Ratio 20/60,Down Day Capture
SMCI,"Super Micro Computer, Inc.",Hardware,Hardware - Data Center Infrastructure & Servers,WATCHLIST,24215.679,0.0677,0.2493,-0.1651,19.49,3.511,True,4.83,-0.366,True,25.11,1.15,3.09
ULTA,"Ulta Beauty, Inc.",E-commerce,"E-commerce - Omnichannel Retailers, Online & Physical Stores",WATCHLIST,23777.8575,0.0901,0.0373,0.1972,7.17,1.917,True,2.286,0.356,True,3.88,1.13,-1.21
OMC,Omnicom Group Inc.,Digital Entertainment & Media,Entertainment - Advertising & Social Platforms,WATCHLIST,22783.06,-0.0641,0.0099,0.1324,4.38,1.188,False,0.632,-0.97,False,1.14,0.66,1.23
USFD,Us Foods Holding Corp.,Agriculture & FoodTech,Agriculture - Agri-Food Processing & Distribution,WATCHLIST,22740.6868,-0.0301,0.0505,0.2511,8.96,0.745,False,0.598,-0.874,False,5.2,0.78,0.66
CNH,Cnh Industrial N.V.,Agriculture & FoodTech,Agriculture - Precision Agriculture & Farm Automation,WATCHLIST,22063.9375,0.2329,0.2834,0.3043,30.55,2.734,True,6.416,2.78,True,28.53,1.58,-3.79
IOT,Samsara Inc.,Hardware,Hardware - Industrial & IoT,WATCHLIST,21851.6275,-0.0233,0.0415,0.1062,12.7,2.369,False,1.294,-0.722,True,4.3,1.18,0.82
AMCR,Amcor Plc,Industrials & Construction,Industrials - Packaging & Containers,WATCHLIST,21235.5379,-0.0187,-0.0285,0.209,6.37,1.195,False,0.468,-0.633,False,-2.7,1.08,0.7
SNX,TD Synnex Corp,Industrials & Construction,Industrials - Distribution & Rental Services,WATCHLIST,20682.9315,0.0341,-0.0044,-0.0576,14.49,-1.677,True,0.416,0.329,True,-0.29,0.69,1.52
VTRS,Viatris Inc.,Healthcare & Biotech,Healthcare - Metabolic & Cardiometabolic,WATCHLIST,19531.7862,0.033,-0.0392,0.093,9.93,-1.077,True,0.396,0.429,False,-3.78,0.88,0.43
NTNX,"Nutanix, Inc.",Cloud Computing,Cloud - Multi-Cloud Management,WATCHLIST,18311.51,-0.0159,0.1067,0.2832,23.72,3.959,False,3.487,-0.622,True,10.83,1.04,1.49
U,Unity Software Inc.,Software,Software - Vertical SaaS Platforms,WATCHLIST,18246.0867,-0.0381,0.1829,0.4257,23.72,6.055,False,3.289,-2.547,True,18.46,1.33,2.26
NLY,"Annaly Capital Management, Inc.",Financials - Traditional,"Fin Trad - Banks, Lending & Mortgage Finance",WATCHLIST,17173.3832,-0.01,0.0026,0.1135,3.92,0.201,False,-0.036,-0.341,True,0.41,0.81,0.83
CLH,Clean Harbors Inc,Environmental Sustainability,Environmental - Waste Management & Recycling,WATCHLIST,16836.4933,0.0206,0.0209,0.1063,7.77,-0.034,False,0.52,-0.131,True,2.24,0.94,0.47
WCC,"Wesco International, Inc.",Industrials & Construction,Industrials - Distribution & Rental Services,WATCHLIST,16493.1482,0.0447,-0.0605,-0.0602,8.08,-0.952,True,-0.606,-0.286,True,-5.91,0.76,2.54
JAZZ,Jazz Pharmaceuticals Plc,Healthcare & Biotech,"Healthcare - Regenerative Medicine, Psychedelics, Cannabis",WATCHLIST,16049.4797,0.0093,-0.0566,0.0688,11.07,-1.174,False,-0.289,-0.37,True,-5.52,1.17,0.31
ARMK,Aramark,Business Services & Consulting,"Business Services - Outsourcing, Facilities & Testing",WATCHLIST,15030.5812,-0.0241,0.012,0.0626,10.29,-0.636,False,-0.275,-0.766,True,1.35,1.08,2.39
LECO,"Lincoln Electric Holdings, Inc.",Industrials & Construction,"Industrials - Machinery, Flow Control & Components",WATCHLIST,14901.8737,-0.0297,-0.0043,0.055,4.53,0.729,False,0.638,-0.726,True,-0.28,1.15,2.32
EG,"Everest Group, Ltd.",Financials - Traditional,Fin Trad - Insurance & Reinsurance,WATCHLIST,14785.534,0.0086,0.0316,0.2044,7.3,0.346,False,0.78,0.258,False,3.31,0.76,-0.3
AIZ,"Assurant, Inc.",Financials - Traditional,Fin Trad - Insurance & Reinsurance,WATCHLIST,14160.854,0.0034,0.0189,0.1577,10.76,0.215,False,0.601,-0.056,True,2.04,0.89,0.04
MLI,"Mueller Industries, Inc.",Industrials & Construction,"Industrials - Machinery, Flow Control & Components",WATCHLIST,13828.2609,0.0178,-0.0648,-0.0242,2.5,-0.58,True,-0.901,-0.262,True,-6.35,0.79,1.66
CACI,Caci International Inc /De/,Defense & Aerospace,Defense - Cyber Defense & Electronic Warfare,WATCHLIST,13679.3938,-0.0073,0.1897,0.1809,12.5,3.366,False,2.921,-1.37,True,19.14,1.09,2.05
FIVE,"Five Below, Inc.",E-commerce,"E-commerce - Omnichannel Retailers, Online & Physical Stores",WATCHLIST,13405.8056,0.0426,0.1345,0.1315,17.51,1.949,True,3.078,-0.833,True,13.62,1.22,-1.16
ALLE,Allegion Plc,Smart Home & IoT,Smart Home - Automation & Control Systems,WATCHLIST,13187.5041,-0.0023,-0.0498,0.2126,4.45,2.21,False,0.07,-0.927,True,-4.84,1.08,1.93
ALLY,Ally Financial Inc.,FinTech & Digital Finance,FinTech - Digital Banking & Neobanks,WATCHLIST,13180.9731,0.0367,-0.028,0.0758,1.99,-0.54,True,-0.689,0.244,True,-2.66,0.91,1.97
HAS,"Hasbro, Inc.",Consumer Goods & Retail,Consumer - Modern Luxury & Lifestyle,WATCHLIST,13138.2917,-0.018,0.0187,0.1081,4.67,0.901,False,0.988,-0.668,False,2.02,0.79,0.55
AVY,Avery Dennison Corp,Industrials & Construction,Industrials - Packaging & Containers,WATCHLIST,13112.106,-0.0094,0.016,0.1295,3.6,1.394,False,0.71,-0.759,True,1.75,1.24,0.71
BMRN,Biomarin Pharmaceutical Inc.,Healthcare & Biotech,Healthcare - Genomics & Personalized Medicine,WATCHLIST,12851.3618,0.0288,0.0957,0.2172,11.7,1.647,False,1.465,-0.485,True,9.73,1.19,1.52
DOCU,"Docusign, Inc.",Cloud Computing,Cloud - Horizontal SaaS & Cloud Applications,WATCHLIST,12737.9149,0.0689,0.1889,0.3055,23.79,5.105,True,4.878,0.208,True,19.07,1.12,-0.78
PEN,"Penumbra, Inc.",Healthcare & Biotech,Healthcare - Medical Devices & HealthTech Hardware,WATCHLIST,12682.6076,0.0015,-0.0063,0.0088,0.45,-0.12,True,-0.014,-0.157,True,-0.49,0.76,0.33
AUR,"Aurora Innovation, Inc.",Industrial Automation & Robotics,"Robotics - Autonomous Vehicles, Service & Mobility",WATCHLIST,12275.4509,0.0875,-0.1231,-0.0878,6.37,-1.518,False,-2.263,0.268,True,-12.18,1.06,6.64
AHR,"American Healthcare REIT, Inc.",Real Estate & REITs,Real Estate - Healthcare & Senior Living,WATCHLIST,12164.3315,-0.0146,0.0046,0.1802,5.8,0.243,False,0.482,-0.205,False,0.61,0.96,0.0
ELAN,Elanco Animal Health Inc,Healthcare & Biotech,Healthcare - Animal Health & Veterinary,WATCHLIST,11984.2929,0.0162,-0.043,-0.0028,3.41,-0.365,True,-0.004,0.324,True,-4.16,1.01,1.07
AFG,"American Financial Group, Inc.",Financials - Traditional,Fin Trad - Insurance & Reinsurance,WATCHLIST,11968.8837,-0.0063,0.0151,0.1144,4.2,0.335,False,0.09,-0.227,False,1.66,0.71,0.25
WTS,Watts Water Technologies Inc,Environmental Sustainability,Environmental - Water Infrastructure & Treatment,WATCHLIST,11880.0261,-0.0071,0.0158,0.1561,8.75,0.362,False,-0.141,-0.829,True,1.73,0.58,1.67
AIT,"Applied Industrial Technologies, Inc.",Industrials & Construction,Industrials - Distribution & Rental Services,WATCHLIST,11677.5762,0.0104,-0.0865,0.0403,3.46,-0.798,False,-1.755,-0.86,True,-8.51,1.0,2.43
BJ,"BJ's Wholesale Club Holdings, Inc.",E-commerce,"E-commerce - Omnichannel Retailers, Online & Physical Stores",WATCHLIST,11670.2136,0.0286,-0.0358,0.045,0.15,0.438,False,-0.358,-0.176,True,-3.44,1.1,-0.5
TECH,Bio-Techne Corp,Nanotechnology,NanoTech - Research Tools & Advanced Instruments,WATCHLIST,11358.3452,0.0011,0.0058,0.426,13.56,1.443,False,0.693,-0.253,True,0.73,0.52,0.19
SWKS,"Skyworks Solutions, Inc.",Semiconductors,Semis - Wireless & Connectivity,WATCHLIST,10829.526,0.1251,0.1082,-0.0823,11.96,0.612,True,2.066,0.761,True,10.99,1.0,0.19
ARW,"Arrow Electronics, Inc.",Industrials & Construction,Industrials - Distribution & Rental Services,WATCHLIST,10657.5596,0.0591,-0.0514,-0.0583,13.25,-1.925,True,-0.255,0.35,True,-5.0,0.92,0.74
GSAT,"Globalstar, Inc.",Telecommunications,Telecom - Satellite & Space Communication,WATCHLIST,10589.2168,0.0071,-0.0161,0.0091,8.88,-1.436,True,0.062,-0.134,True,-1.47,0.61,0.17
HSIC,"Henry Schein, Inc.",Healthcare & Biotech,"Healthcare - IT, Services & Data Infrastructure",WATCHLIST,10055.8223,0.0032,0.0079,0.1858,9.82,0.642,False,0.97,-0.147,False,0.93,0.79,0.9
OSK,Oshkosh Corp,Transportation & Logistics,Transportation - Infrastructure & Equipment,WATCHLIST,9529.5304,0.0203,0.006,0.1761,7.71,1.139,False,0.99,-0.13,True,0.75,0.72,1.88
BRKR,Bruker Corp,Nanotechnology,NanoTech - Research Tools & Advanced Instruments,WATCHLIST,8951.1096,0.0249,0.163,-0.0662,13.4,-0.919,False,0.159,0.235,False,16.47,0.86,2.73
AGCO,Agco Corp /De,Agriculture & FoodTech,Agriculture - Precision Agriculture & Farm Automation,WATCHLIST,8869.8685,0.1765,0.2482,0.1186,17.13,0.849,True,4.343,2.781,True,25.0,1.26,-5.35
TTC,Toro Co,Agriculture & FoodTech,Agriculture - Precision Agriculture & Farm Automation,WATCHLIST,8713.0265,-0.0576,-0.0581,0.0307,0.56,-0.101,False,-0.042,-0.77,False,-5.67,1.09,0.54
RHP,"Ryman Hospitality Properties, Inc.",Real Estate & REITs,"Real Estate - Travel, Leisure & Entertainment Properties",WATCHLIST,8475.8513,-0.0452,-0.0367,0.0945,6.83,-0.74,False,-0.598,-0.562,True,-3.53,1.26,0.18
GTLB,Gitlab Inc.,Cloud Computing,"Cloud - DevOps, Observability",WATCHLIST,8266.604,0.1105,0.366,0.6111,45.04,7.046,True,7.858,0.803,True,36.8,1.49,0.28
HQY,"Healthequity, Inc.",Healthcare & Biotech,"Healthcare - IT, Services & Data Infrastructure",WATCHLIST,8124.7099,-0.0031,-0.0848,0.1274,3.81,0.772,False,-0.846,-1.014,False,-8.34,1.05,0.11
THG,"Hanover Insurance Group, Inc.",Financials - Traditional,Fin Trad - Insurance & Reinsurance,WATCHLIST,8003.4278,0.0031,0.0015,0.2315,12.22,0.511,False,0.954,-0.013,False,0.3,0.87,-0.07
NFG,National Fuel Gas Co,Energy - Traditional,Energy Base - Utilities & Conventional Power Operators,WATCHLIST,7987.115,0.0042,0.0212,0.0834,1.29,0.647,True,0.742,-0.032,False,2.27,0.73,-0.79
SIMO,Silicon Motion Technology Corp,Semiconductors,Semis - Emerging Technologies,WATCHLIST,7958.658,0.0423,-0.0438,-0.1626,13.49,-5.051,True,-1.812,0.266,True,-4.24,1.01,1.98
CMC,Commercial Metals Co,Commodities - Metals,Comm Metals - Industrial & Base Metals,WATCHLIST,7612.6139,0.0392,-0.0324,-0.0793,2.45,-0.243,True,-0.385,0.135,True,-3.09,0.85,1.91
KEX,Kirby Corp,Transportation & Logistics,Transportation - Marine Shipping & Ports,WATCHLIST,7554.0966,0.0123,0.0631,-0.0278,4.65,-1.014,True,0.666,0.339,False,6.46,0.69,0.15
NXE,Nexgen Energy Ltd.,Commodities - Energy,Comm Energy - Uranium & Nuclear Fuels,WATCHLIST,7171.0628,0.0317,0.0994,-0.0538,3.03,0.445,True,1.586,-0.507,True,10.1,1.08,3.78
ACA,"Arcosa, Inc.",Industrials & Construction,Industrials - Construction Materials & Aggregates,WATCHLIST,7149.9515,0.0012,0.0016,0.1753,10.84,-0.269,False,0.273,-0.078,True,0.31,0.7,-0.08
SGHC,Super Group (Sghc) Ltd,Digital Entertainment & Media,Entertainment - iGaming & Online Gambling,WATCHLIST,7148.6403,0.0123,0.005,0.103,8.24,-0.644,True,0.249,0.691,False,0.65,0.75,0.52
AN,"Autonation, Inc.",E-commerce,"E-commerce - Omnichannel Retailers, Online & Physical Stores",WATCHLIST,6894.1696,0.0613,-0.015,0.1162,5.17,0.91,True,0.152,0.506,True,-1.36,0.8,0.85
S,"Sentinelone, Inc.",Cybersecurity,Cybersecurity - Cloud Security,WATCHLIST,6809.5811,-0.0771,-0.0524,0.2196,12.28,2.013,False,0.422,-1.682,False,-5.1,1.33,3.82
TAL,Tal Education Group,Education Technology,Education - Digital Curriculum,WATCHLIST,6675.8292,0.0385,0.0342,0.2744,12.69,2.329,True,2.031,0.014,True,3.57,1.2,-1.83
LNTH,"Lantheus Holdings, Inc.",Healthcare & Biotech,"Healthcare - Diagnostics, Biomarkers & Liquid Biopsy",WATCHLIST,6588.9193,0.002,-0.0014,0.0072,8.9,-2.192,False,-0.376,0.164,True,0.01,1.0,-0.08
GATX,GATX Corp,Transportation & Logistics,Transportation - Freight Rail & Infrastructure,WATCHLIST,6258.174,0.0029,-0.0202,0.0719,0.26,-0.181,True,-0.375,-0.048,True,-1.88,0.77,0.62
CWST,Casella Waste Systems Inc,Environmental Sustainability,Environmental - Waste Management & Recycling,WATCHLIST,6071.3431,-0.0016,0.0222,0.1132,2.72,0.605,True,0.71,0.229,False,2.37,0.65,0.14
TXNM,"TXNM Energy, Inc.",Energy - Traditional,Energy Base - Utilities & Conventional Power Operators,WATCHLIST,6008.1034,0.0062,0.0069,-0.0101,0.84,0.014,True,0.282,0.115,False,0.84,0.81,-0.0
RLI,RLI Corp,Financials - Traditional,Fin Trad - Insurance & Reinsurance,WATCHLIST,5860.6218,-0.027,0.0122,0.2495,6.23,1.506,False,0.689,-0.587,False,1.37,0.7,-0.09
DLB,"Dolby Laboratories, Inc.",Hardware,Hardware - Next-Gen & Specialty,WATCHLIST,5805.5916,0.0075,0.018,0.1354,5.46,2.745,False,2.286,-1.082,True,1.95,1.05,0.0
MKTX,Marketaxess Holdings Inc,FinTech & Digital Finance,FinTech - Exchanges & Market Infrastructure,WATCHLIST,5741.0166,0.0041,0.0112,0.3349,9.15,4.235,False,3.459,-1.011,True,1.27,1.09,-0.12
CVLT,"Commvault Systems, Inc.",Cybersecurity,Cybersecurity - Cloud Security,WATCHLIST,5638.5331,0.0001,0.0326,0.1288,7.69,0.759,False,-0.406,-0.114,True,3.42,0.7,4.55
MUR,Murphy Oil Corp,Energy - Traditional,Energy Base - Oil & Gas Exploration & Production,WATCHLIST,5412.8794,0.0227,-0.0408,-0.0602,3.48,-0.706,True,0.786,0.405,False,-3.94,0.91,-1.3
SBRA,"Sabra Health Care Reit, Inc.",Healthcare & Biotech,Healthcare - Senior Care & Longevity,WATCHLIST,5340.4488,0.0082,0.021,0.1661,5.3,0.286,False,0.626,0.097,False,2.25,0.72,-0.22
XMTR,"Xometry, Inc.",Industrial Automation & Robotics,"Automation - Additive Manufacturing, 3D Printing",WATCHLIST,5313.322,-0.0168,0.0095,0.125,17.65,-1.515,False,0.736,0.611,False,1.1,0.63,4.51
CNO,"CNO Financial Group, Inc.",Financials - Traditional,Fin Trad - Insurance & Reinsurance,WATCHLIST,5233.0086,0.0249,0.0242,0.2337,15.1,0.319,False,1.124,0.282,True,2.57,1.04,0.38
GEF,"Greif, Inc.",Industrials & Construction,Industrials - Packaging & Containers,WATCHLIST,4871.319,0.0109,-0.0486,0.3588,14.01,1.529,False,0.649,-0.718,True,-4.72,1.05,1.5
CLMT,"Calumet, Inc. /De",Commodities - Energy,Comm Energy - Biofuels & Renewable Fuels,WATCHLIST,4768.4792,0.1127,0.2784,0.4217,43.89,1.734,True,5.23,0.556,True,28.03,1.23,-3.22
