Ticker,Company Name,Theme,Sub Theme,Setup,Market Cap,1W Price Change %,1M Price Change %,3M Price Change %,Pct vs 30W EMA,Weekly PPO Hist,Weekly Hist Improving,Daily PPO,Daily PPO Hist,Daily PPO Turning Up,RS 1M Change %,Vol Ratio 20/60,Down Day Capture
EVER,"Everquote, Inc.",FinTech & Digital Finance,FinTech - InsurTech & Embedded Insurance,WATCHLIST,894.7373,-0.0292,0.044,0.387,11.58,1.648,False,0.623,-0.307,False,4.56,0.77,-1.05
DSP,Viant Technology Inc.,Digital Entertainment & Media,Entertainment - Advertising & Social Platforms,WATCHLIST,881.7443,0.0325,0.0689,0.1289,15.36,1.066,True,2.014,0.587,True,7.04,1.1,0.63
HELP,Cybin Inc. -,Healthcare & Biotech,"Healthcare - Regenerative Medicine, Psychedelics, Cannabis",WATCHLIST,843.1144,0.0033,0.3168,1.8419,57.57,9.05,False,7.222,-2.84,True,31.88,1.32,0.61
MITK,Mitek Systems Inc,Cybersecurity,"Cybersecurity - Identity, Biometrics & Access Management",WATCHLIST,841.5323,-0.0149,0.048,0.1477,14.66,-1.043,False,0.682,-0.05,True,4.95,0.87,5.41
KOPN,Kopin Corp,Hardware,Hardware - Next-Gen & Specialty,WATCHLIST,799.2522,-0.0446,0.0313,-0.3086,8.3,-1.51,False,0.015,-2.181,True,3.29,0.98,7.27
LXFR,Luxfer Holdings Plc,Commodities - Metals,Comm Metals - Rare Earth & Strategic Materials,WATCHLIST,460.3954,0.0023,0.0088,0.0018,8.14,-0.741,False,0.185,0.039,True,1.03,0.97,-0.02
BNED,"Barnes & Noble Education, Inc.",Education Technology,Education - Digital Curriculum,WATCHLIST,417.713,0.0627,-0.0132,0.2452,15.41,-0.4,True,0.02,0.133,True,-1.17,0.67,-0.67
MTLS,Materialise Nv,Hardware,Hardware - Printing & Imaging,WATCHLIST,411.3904,0.0627,0.1134,0.1286,18.22,0.547,True,2.063,0.802,True,11.51,1.19,0.44
MNTK,"Montauk Renewables, Inc.",Commodities - Energy,Comm Energy - Biofuels & Renewable Fuels,WATCHLIST,303.8983,0.2599,0.3118,0.3765,31.19,3.397,True,4.575,2.0,True,31.37,1.15,2.15
CHPT,"Chargepoint Holdings, Inc.",Electric Vehicles & Mobility,EVs - Charging & Infrastructure,WATCHLIST,203.0374,0.7756,0.6848,0.2996,47.54,4.239,True,6.969,5.725,True,68.73,2.35,4.3
NPWR,Net Power Inc.,Environmental Sustainability,Environmental - Climate Technologies & Carbon Solutions,WATCHLIST,161.4772,0.0546,0.2532,0.0158,4.35,2.835,True,3.822,0.203,True,25.51,1.39,0.26
